,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
56,15/9-F-11,7078,2016,Feb,695.58333,25954.57,4093286.56,66610.49,0.0,0.0
57,15/9-F-11,7078,2016,Mar,743.0,25023.66,4032038.1,76636.96,0.0,0.0
58,15/9-F-11,7078,2016,Apr,579.08332,13429.0,2194427.05,57931.66,0.0,0.0
59,15/9-F-11,7078,2016,May,744.0,15528.75,2450713.77,73445.23,0.0,0.0
60,15/9-F-11,7078,2016,Jun,718.41667,14590.61,2349131.22,71699.35,0.0,0.0
61,15/9-F-11,7078,2016,Jul,740.00101,14384.88,2309447.47,77084.72,0.0,0.0
62,15/9-F-11,7078,2016,Aug,743.66667,14583.73,2341371.55,87762.19,0.0,0.0
63,15/9-F-11,7078,2016,Sep,392.27514,8609.18,1458816.35,46779.39,0.0,0.0
64,15/9-F-12,5599,2008,Feb,406.62499,49091.06,7068009.29,412.61,0.0,0.0
65,15/9-F-12,5599,2008,Mar,655.10834,83361.26,12191170.91,27.42,0.0,0.0
66,15/9-F-12,5599,2008,Apr,613.64666,74532.45,11506440.74,482.05,0.0,0.0
67,15/9-F-12,5599,2008,May,716.19167,125478.56,19091871.52,16280.12,0.0,0.0
68,15/9-F-12,5599,2008,Jun,675.91669,143786.85,21512333.93,474.37,0.0,0.0
69,15/9-F-12,5599,2008,Jul,710.74165,114994.61,17116441.78,290.02,0.0,0.0
70,15/9-F-12,5599,2008,Aug,672.83334,97822.46,14143008.24,354.18,0.0,0.0
71,15/9-F-12,5599,2008,Sep,567.97499,77666.95,11185944.41,188.39,0.0,0.0
72,15/9-F-12,5599,2008,Oct,737.50001,94357.23,13430833.95,624.05,0.0,0.0
73,15/9-F-12,5599,2008,Nov,712.66667,145915.56,20837122.26,2390.31,0.0,0.0
74,15/9-F-12,5599,2008,Dec,744.0,166439.67,24106361.74,1003.31,0.0,0.0
75,15/9-F-12,5599,2009,Jan,740.83332,153677.16,22255224.02,389.76,0.0,0.0
76,15/9-F-12,5599,2009,Feb,656.30834,121905.01,17427051.54,0.0,0.0,0.0
77,15/9-F-12,5599,2009,Mar,506.33334,92958.71,13123546.99,0.0,0.0,0.0
78,15/9-F-12,5599,2009,Apr,719.16667,150955.68,20931107.81,1246.29,0.0,0.0
79,15/9-F-12,5599,2009,May,695.16666,141039.01,19366853.43,3106.49,0.0,0.0
80,15/9-F-12,5599,2009,Jun,715.31666,132429.71,17787475.65,2658.63,0.0,0.0
81,15/9-F-12,5599,2009,Jul,742.16666,106105.25,14721967.2,3289.44,0.0,0.0
82,15/9-F-12,5599,2009,Aug,589.075,112414.27,15676349.96,5024.01,0.0,0.0
83,15/9-F-12,5599,2009,Sep,493.25,90098.89,12553421.69,2235.08,0.0,0.0
84,15/9-F-12,5599,2009,Oct,683.74166,126939.65,17819694.28,6812.79,0.0,0.0
85,15/9-F-12,5599,2009,Nov,705.75001,136015.68,19181583.58,11286.87,0.0,0.0
86,15/9-F-12,5599,2009,Dec,728.5,158001.52,22160862.45,17321.2,0.0,0.0
87,15/9-F-12,5599,2010,Jan,742.16666,149658.83,21044604.02,30230.27,0.0,0.0
88,15/9-F-12,5599,2010,Feb,608.725,103026.0,14520589.94,43215.66,0.0,0.0
89,15/9-F-12,5599,2010,Mar,647.66666,101571.61,14278518.8,53998.5,0.0,0.0
90,15/9-F-12,5599,2010,Apr,705.99999,86253.61,12161145.93,67996.09,0.0,0.0
91,15/9-F-12,5599,2010,May,733.16667,77113.56,10970381.3,74438.31,0.0,0.0
92,15/9-F-12,5599,2010,Jun,717.16667,69617.37,9944534.27,83268.36,0.0,0.0
93,15/9-F-12,5599,2010,Jul,742.33334,64039.69,9283376.77,95054.15,0.0,0.0
94,15/9-F-12,5599,2010,Aug,427.43334,30117.36,4346504.25,54787.65,0.0,0.0
95,15/9-F-12,5599,2010,Sep,644.74999,51312.93,7750210.88,89428.8,0.0,0.0
96,15/9-F-12,5599,2010,Oct,743.00001,51430.58,7741377.24,99542.87,0.0,0.0
97,15/9-F-12,5599,2010,Nov,690.33333,44468.45,6747077.64,102235.65,0.0,0.0
98,15/9-F-12,5599,2010,Dec,741.33333,45217.96,6910660.46,111335.89,0.0,0.0
99,15/9-F-12,5599,2011,Jan,743.5,44746.55,6824000.89,116885.54,0.0,0.0
100,15/9-F-12,5599,2011,Feb,557.24999,29157.49,4519227.07,85274.18,0.0,0.0
101,15/9-F-12,5599,2011,Mar,729.83334,37395.05,5760219.21,113239.35,0.0,0.0
102,15/9-F-12,5599,2011,Apr,717.91667,37819.72,5877460.87,116196.38,0.0,0.0
103,15/9-F-12,5599,2011,May,736.04167,37204.71,5801740.29,119567.47,0.0,0.0
104,15/9-F-12,5599,2011,Jun,463.26667,22026.06,3412025.77,74563.44,0.0,0.0
105,15/9-F-12,5599,2011,Jul,245.24669,12462.42,1823751.35,31887.51,0.0,0.0
106,15/9-F-12,5599,2011,Aug,651.49332,36380.15,5446516.53,99004.87,0.0,0.0
107,15/9-F-12,5599,2011,Sep,707.0,29999.17,4566406.76,110471.84,0.0,0.0
108,15/9-F-12,5599,2011,Oct,325.66166,12647.5,1919664.23,52875.8,0.0,0.0
109,15/9-F-12,5599,2011,Nov,459.33334,21789.05,3242433.68,75772.93,0.0,0.0
110,15/9-F-12,5599,2011,Dec,424.82166,18090.2,2650493.31,64676.69,0.0,0.0
111,15/9-F-12,5599,2012,Jan,399.65834,18217.85,2722573.45,63857.71,0.0,0.0
112,15/9-F-12,5599,2012,Feb,688.75833,27362.26,4289924.83,133954.93,0.0,0.0
113,15/9-F-12,5599,2012,Mar,740.41666,26679.88,4276185.92,142184.01,0.0,0.0
114,15/9-F-12,5599,2012,Apr,710.29167,24088.35,3866150.19,138112.43,0.0,0.0
115,15/9-F-12,5599,2012,May,737.69167,22415.15,3630958.27,140203.43,0.0,0.0
116,15/9-F-12,5599,2012,Jun,711.33334,20887.38,3394646.36,134081.24,0.0,0.0
117,15/9-F-12,5599,2012,Jul,744.0,21206.94,3444768.69,140164.53,0.0,0.0
